text,reply_to_message_id,mentioned
https://www.instagram.com/khomenko_makeup?igsh=MXRhcmFkdHN5enhpZA==,1452962,False
"Здравствуйте. 
Подскажите пожалуйста компании, которые занимаются перевозками Бали-Москва и можно за 💸 взять у них вещи для перевозки. Еду с пустым чемоданом",,False
"Здравствуйте! Ищу визажиста, пожалуйста посоветуйте. Спасибо!",,False
"Ребят, привет-привет) 

Среди вас есть те, кто интересуется стать проджектом? Сейчас ищу несколько учеников для обучения

Если интересно пишите в ЛС )",,False
Всем привет ) есть тут кто нибудь кто прям остро нуждается в жилье ?),,False
"Кто идет на Jonas Blue 31 декабря в 
CANNA BEACH CLUB
?",,False
"Здравствуйте, есть кто занимается чисткой аккаунтов инста от ботов, напишите в личку, пожалуйста🙏🏽 если посоветуете кого-то, буду признательна!",,False
"Так уже 100 раз писали, что билеты должны быть купленные, а не просто бронь",1449968,False
"Ищу лучшего тренера по теннису на бали, Букит 
Пожалуйста посоветуйте специалиста, спасибо",,False
Здравствуйте. Ищу комнату с 25 января на 2 недели. Предложения в лс пожалуйста,,False
"Добрый день, подскажите где можно приобрести Insta 360, в Чангу.",,False
"Ищу персонального тренера для тренировок в RAW GYM
DM",,False
В гожэк и граб можно заказывать продукты.,1452948,False
"Ищу преподавателя, желательно Индуса по табла 💔
если есть педагоги хорошие, пожалуйста поделитесь контактом",,False
"❗️🫶 
1. Подскажите, пожалуйста, эпп или сайты, где можно заказывать продукты домой, желательно мясо/рыбы/сыры. Район Нуса Дуа, из других районов тоже можно. Аналогичное Bali Green and Foods. 
2. Спортивные секции для детей (5 лет сыну). Хочется отдать на спорт, тренировки или любые другие русскоязычные уроки. Район: Нуса дуа. 

Буду очень благодарна за рекомендации 🙏",,False
,,False
"Псхы все с бесконтактными ключами, выбора нет в этом",1452944,False
Спасибо 🙏,1452943,False
С абс и ключом бесконтактным.,1452934,False
"У официалов, ещё токопедия.",1452927,False
Меня несколько раз пустили без регистрации. Пока ни разу не развернули.,1452902,False
Я ищу дом по хорошей цене около 8-10 миллионов в месяц в Чангу или недалеко от него.🙏🏽,,False
С абс и без ключа,1452934,False
"Ребята, привет, очень плохо работает телега в последние пару дней. Не знаете с чем может быть связано?",,False
"Всем привет
Pcs лучше с АБС брать или нет? И с ключом или без?
Думаю над покупкой, а нюансы не знаю
Спасибо 🙏",,False
"Привет всем! Подскажите будет ли на Новый год фейерверк в чангу,куте и рядом?",,False
Спасибо,1452886,False
Мне тоже интересно,1452889,False
"Привет!
Кто знает, где можно купить запчасти на yamaha?",,False
,,False
Передайте тому кто в бункере,,False
"Ребят, по-моему телегу блочить начали. Через vpn норм работает",,False
На Бали в рестиках цены плюс -минус московские,1452766,False
"Подскажите , а пляжные  комплексы атлас/ Fins как сейчас вход платный /бесплатный . Куда лучше поехать из Семиньяк )",,False
"Всем привет, может у кого есть лишний билет на нойза сегодня?)",,False
капец,,False
ета💥девачка😱бандэтка😏милайа🧕🏿улибкя👚,,False
"А кто на Гили организовывает? Тут куча людей в чате и никто не может найти место) 

Есть идея самой организовать 😁",1452911,False
Ребят посоветуйте массажку на Семеньяке ),,False
"Ребят, привет, кто в Улувату, где нг отмечать будете ? До сих пор не нашли место, локацию, на остров Гили (где смотрю все собираются), далеко ехать, поэтому этот вариант не рассматриваем",,False
Могу отдать за 1000000,1452897,False
"Ребята, приветствую. Подскажите, в районе Санур есть отдельный чат, я что-то не нашла🤷‍♀️👀? Благодарю 🙏🌹 если знаете. Скиньте пожалуйста✋",,False
"Кто нибудь сталкивался с тем, что телеграмм на Бали плохо работает ?",,False
"Кто-нибудь записывался недавно в офис иммиграции в джимбаран? Написано нет квот для регистрации 2й день, Можно ли без записи приехать для продления?",,False
За 1200000 брал,1452897,False
"Ребят проголосуйте пожалуйста 🙏🙏🙏

https://teletype.in/@golosovanie2024/konkurs-krasoti",,False
"Ребят, а есть где-нибудь в Чангу ёлка наряженная? Желательно на улице) Нужно видео классное на фоне неё снять 🔥 Подскажите пожалуйста",,False
А ск цена ?,1452896,False
"Всем привет! Есть лишний билет на концерт Моргенштерна 6.01, не получается пойти, напишите в лс кому интересно",,False
Если что то найдешь можешь мне тоже написать?) тут полный чат кто ищет и никто не организовывает как я поняла..,1452889,False
Всем привет) есть тут люди остро нуждающиеся в жилье ?),,False
Может кто-то порекомендовать мамский чат на Бали,,False
"Пристраиваю детское питание овощное и мясное пюре (Бабушкино лукошко) и безмолочные каши (гречневая, овсяная, рисовая, мультизлаковая, кукурузная) брали на длительный срок, улетаем раньше",,False
,1452890,False
"Ребята, всем привет! Может, кто сталкивался и сможет помочь, пыталась продлить визу по прилету, оплатить смогла, но виза никуда не пришла, в кабинете только старая висит, на почте/в спаме ничего нет, пыталась найти разными способами (кто-то писал про вкладки с истории браузера или по qr перейти из старой визы), у меня не сработали эти варианты, может кто-знает какие-нибудь еще способы или что вообще делать в такой ситуации? 

В эмиграшке сказали помочь не могут, тк онлайн-виза это главный офис Джакарты, а не местные",,False
Народ где в этом году будет отмечать новый год компании веганов вместе с экстатиком и какао церемонией?,,False
"Привет! Подскажите, у кого можно прилично постричься на Буките, желательно в районе Улувату",,False
"1.5-2%, в среднем, смотря какой застройщик",1452883,False
Тоже интересно,1452856,False
Китас не даёт преимуществ для регистрации imei.,1452881,False
"Все  доброе утро)
Может кто знает возможно ли с китасом рабочим зарегать телефон на весь срок действия визы?",,False
"Здравствуйте, я обеспечиваю туры на остров Нуса Пенида, билеты на лодки, мероприятия и поездки по острову. Спасибо.",,False
"Утро доброе! 
Мне нужно видео записать. Нужно тихое место ( коворкинг / студия ) 
Аппаратура не нужна. 

Подскажите место в Чангу или рядом ❣️",,False
Пожалуйста)),1452860,False
Имьа,,False
Отлично. Спасибо огромное!,1452858,False
Больше не нужно ничего. После паспортного контроля ещё таможенную декларацию заполните.,1452853,False
Всем привет кто летит в Таиланд в ближайшее пару дней на Пхукет ) напишите в ЛС),,False
"Кто-то работает у застройщика, какая мотивация для сотрудников отдела продаж, кто-то подскажет?",,False
"Всем привет!
Меня зовут Саша - я начинающий фотограф 
В ближайшее время планирую снимать много творчества
Поэтому если есть желающие модели или просто девчонки, которые готовы поработать вместе на творческой основе - пишите мне
Inst: @shunyazotova
📍Чангу ( но по-любому поедем к черту на куличики )",,False
Спасибо! Никаких загвоздок же не может появиться?) У меня будет паспорт и обратный билет с собой) Ничего больше не нужно?,1452852,False
Можете не успеть электронно. По прилёту сделаете.,1452850,False
"Доброе утро! Подскажите, пожалуйста, как лучше сделать - оформить визу электронно или сделать ее по прилету, если вылет уже сегодня вечером? Гражданство - Казахстан, прилет в аэропорт Денпасара",,False
Всем привет. Кто-то сегодня едет на Нуса-Пенида?,,False
"Может прокатить, может нет. По правилам именно билет нужен.",1452845,False
"Билет обратно, не бронь",1452845,False
А у Вас был обратный билет или бронь ? И прокатывает ли бронь ? Спасибо,1452842,False
"Всем привет! 🙂
Сегодня из Убуда в сторону Денпасара случайно никто не планирует поехать?)",,False
"Здравствуйте, вакцинацию не спрашивали, а вот билет спрашивали",1452821,False
,,False
Центральный процессор10к видео 642 ссылок и моя приватка  (платно),,False
Классика. Нельзя переводить предоплаты.,1452825,False
"Нужен тренер по большому теннису, чангу",,False
Кому нибудь нужен кальян домой?)),,False
Мальчикит,,False
Мальчики напишите в лс,,False
"Остерегайтесь, наткнулись на мошенника! ⤵️🤬
@AgentRobertX

💰Взял предоплату 6900₽ за пенную вечеринку.

Пропал и замолчал, а после и вовсе удалил чат🙈",,False
"Ребята, кто прилетел в декабре, скажите пожалуйста сертификат о вакцинации нужен или уже нет? И что по обратным билетам ? У всех спрашивают? ( если жестко , посоветуйте пожалуйста сайты где можно оформить возвратный билет )",,False
"Ребят привет. Подскажите а где на Бали можно купить набор северных диких ягод? 

Брусника клюква голубика и т д",,False
"Добрый вечер! Ищу виллу с 6.01 по 5.02 
2 комнаты 
30 млн",,False
Центральный процессор10к видео 642 ссылок и моя приватка  (платно),,False
"Добрый вечер! 
Ищу виллу, район Чангу или ближайшие
Бюджет до 20млн 
3-4 комнаты 
Проживать буду с подругами, без животных, работаем на удаленке
Прилетаем 27 января",,False
"Кто летит из Бали в Москву, опишитесь пожалуйста",,False
Ая хочу так,,False
